country,year,sex,age,people
AFRICA,2005,1,25,35801.443
AFRICA,2005,1,30,29153.709
AFRICA,2005,1,35,23886.202
AFRICA,2005,1,40,19952.542
AFRICA,2005,1,45,16311.835
AFRICA,2005,1,50,13090.266
AFRICA,2005,1,55,10243.831
AFRICA,2005,1,60,7888.774
AFRICA,2005,1,65,5976.761
AFRICA,2005,1,70,4219.699
AFRICA,2005,1,75,2481.791
AFRICA,2005,1,80,1109.896
AFRICA,2005,1,85,357.471
AFRICA,2005,1,90,68.37
AFRICA,2005,1,95,7.736
AFRICA,2005,1,100,0.476
AFRICA,2010,1,0,84059.063
AFRICA,2010,1,5,71870.828
AFRICA,2010,1,10,62921.703
AFRICA,2010,1,15,55510.33
AFRICA,2010,1,20,49163.23
AFRICA,2010,1,25,41880.776
AFRICA,2010,1,30,34316.695
AFRICA,2010,1,35,27768.075
AFRICA,2010,1,40,22649.875
AFRICA,2010,1,45,18886.395
AFRICA,2010,1,50,15290.497
AFRICA,2010,1,55,12056.688
AFRICA,2010,1,60,9165.278
AFRICA,2010,1,65,6656.688
AFRICA,2010,1,70,4669.032
AFRICA,2010,1,75,2882.537
AFRICA,2010,1,80,1441.398
AFRICA,2010,1,85,443.67
AFRICA,2010,1,90,94.901
AFRICA,2010,1,95,11.297
AFRICA,2010,1,100,0.774
AFRICA,2015,1,0,93987.408
AFRICA,2015,1,5,81511.225
AFRICA,2015,1,10,70813.9
AFRICA,2015,1,15,61915.772
AFRICA,2015,1,20,54163.166
AFRICA,2015,1,25,47719.924
AFRICA,2015,1,30,40573.226
AFRICA,2015,1,35,33092.273
AFRICA,2015,1,40,26619.806
AFRICA,2015,1,45,21598.194
AFRICA,2015,1,50,17812.072
AFRICA,2015,1,55,14185.116
AFRICA,2015,1,60,10872.736
AFRICA,2015,1,65,7833.829
AFRICA,2015,1,70,5219.45
AFRICA,2015,1,75,3191.383
AFRICA,2015,1,80,1606.247
AFRICA,2015,1,85,597.338
AFRICA,2015,1,90,123.563
AFRICA,2015,1,95,16.754
AFRICA,2015,1,100,1.248
Ethiopia,1950,1,0,1683.924
Ethiopia,1950,1,5,1275.737
Ethiopia,1950,1,10,1073.906
Ethiopia,1950,1,15,927.754
Ethiopia,1950,1,20,792.744
Ethiopia,1950,1,25,672.69
Ethiopia,1950,1,30,569.861
Ethiopia,1950,1,35,486.103
Ethiopia,1950,1,40,408.685
Ethiopia,1950,1,45,335.744
Ethiopia,1950,1,50,222.87
Ethiopia,1950,1,55,181.414
Ethiopia,1950,1,60,142.591
Ethiopia,1950,1,65,104.745
Ethiopia,1950,1,70,69.131
Ethiopia,1950,1,75,34.533
Ethiopia,1950,1,80,15.665
Ethiopia,1950,1,85,0.0
Ethiopia,1950,1,90,0.0
Ethiopia,1950,1,95,0.0
Ethiopia,1950,1,100,0.0
Ethiopia,1955,1,0,1757.573
Ethiopia,1955,1,5,1432.366
Ethiopia,1955,1,10,1211.78
Ethiopia,1955,1,15,1033.841
Ethiopia,1955,1,20,882.77
Ethiopia,1955,1,25,745.973
Ethiopia,1955,1,30,631.108
Ethiopia,1955,1,35,531.221
Ethiopia,1955,1,40,447.598
Ethiopia,1955,1,45,370.084
Ethiopia,1955,1,50,297.704
Ethiopia,1955,1,55,191.328
Ethiopia,1955,1,60,147.878
Ethiopia,1955,1,65,107.063
Ethiopia,1955,1,70,68.243
Ethiopia,1955,1,75,35.908
